,Bairro,Distrito
0,Jardim Paraná,Brasilândia
1,Jardim do Centro,Parelheiros
2,Vila Rosin,Casa Verde
3,Vila Morgadouro,Itaim Paulista
4,Vila Cleonice,São Lucas
5,Balneário Mar Paulista,Pedreira
6,Parque Malagoli,Rio Pequeno
7,Várzea de Baixo,Santo Amaro
8,Vila Roschel,Parelheiros
9,Vila Nova Pirajussara,Campo Limpo
10,Núcleo Residencial São João,Iguatemi
11,Parque Luís Mucciolo,Jardim Ângela
12,Retiro Morumbi,Vila Andrade
13,Jardim Elba,Sapopemba
14,Jardim Ampliação,Vila Andrade
15,Cidade D’Abril,Jaraguá
16,Parque Nações Unidas,Jaraguá
18,São Miguel,São Mateus
19,Vila Klaunig,Itaquera
20,Jardim Selma,Pedreira
21,Jardim Íris,Pirituba
22,Conjunto Habitacional Juscelino Kubitschek,Guaianases
23,Vila Natal,Grajaú
24,Jardim Laranjal,Campo Limpo
25,Jardim Brígida,Lajeado
26,Residencial Palmares,Grajaú
27,Parque Maria Domitila,São Domingos
28,Jardim Presidente,Cidade Dutra
29,Jardim do Divino,Guaianases
30,Vila Cosmopolita,Guaianases
31,Vila Prima,Ponte Rasa
32,Chácara Gaivotas,Grajaú
33,Cidade Bandeirantes,Butantã
34,Vila Emir,Campo Grande
35,Jardim Fonte do Morumbi,Vila Andrade
37,Jardim Verônica,Cangaíba
38,Jardim Carlu,Mandaqui
39,Jardim Dona Deolinda,Lajeado
40,Parque Europa,Jardim São Luís
41,Vila Eulália,Ipiranga
42,Conjunto HabitacionalVila Nova Cachoeirinha,Cachoeirinha
43,Recanto Verde do Sol,Iguatemi
44,Vila Fazzione,Capão Redondo
45,Vila Pedra Branca,Mandaqui
46,Vila das Mercês,Sacomã
47,Jardim Casa Grande,Parelheiros
48,Vila Anglo Brasileira,Perdizes
49,Jardim do Lago,Rio Pequeno
50,Jardim Erpim,Parelheiros
51,Vila Alzira,Aricanduva
52,Jardim Alvorada,Grajaú
55,Conjunto Promorar São Luís,Jardim São Luís
56,Vila Antônio dos Santos,Jardim Ângela
57,Parque Ligia,Capão Redondo
58,Chácara Santa Amélia,Parque do Carmo
59,Jardim Popular,Ponte Rasa
60,Vila Císper,Cangaíba
61,Conjunto Promorar Vila Maria,Vila Maria
62,Jardim Camboré,Vila Sônia
63,Vila Stela,Ponte Rasa
64,Jardim Itapura,Pedreira
65,Brasilândia,Brasilândia
66,Jardim Santa Filomena,Vila Sônia
67,Campo Grande,Campo Grande
68,Vila Giordano,São Mateus
70,Sítio Itaberaba II,Cidade Dutra
71,Conjunto Residencial Ingai,Pedreira
72,Vila São Jorge,Cangaíba
73,Conjunto Residencial Salvador Tolezani,Cidade Dutra
74,Parque São Paulo,Grajaú
75,Vila Ribeiro de Barros,Água Rasa
